,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsatelite Z1,,,,,Microsatelite Z2,,,,,Microsatelite Z3,,,,Microsatelite Z3,,,Microsatelite Z3,,,
,,8,,,,,,,,x,,,,x,,,x,,,,x,,
,,9,,x,,,,,x,,,,,x,,,x,x,,x,x,,
,,10,x,,,,,,x,x,,,x,x,,,x,x,,,x,,
,,11,,x,x,,,,x,,,,x,x,,,x,x,,x,x,,
,,12,x,x,,,,,,x,x,,x,,,,x,,,x,x,,
,,13,,x,,,,,x,,x,,x,,,,x,x,,,x,,
,,14,x,x,,,,,,x,,,x,x,,,x,,,x,x,,
,,15,,x,,,,,x,x,,,,x,,,x,x,,x,x,,
,,16,x,,,,,,,x,x,,x,x,,,,x,,x,,,
,,17,,,x,,,,,x,,,x,x,,,,x,,x,,,
,,18,,,x,,,,x,x,,,x,,,,x,x,,x,x,,
,,19,,x,,,,,,x,,,x,x,,,x,,,x,x,,
,,20,,x,,,,,,x,x,,,x,,,x,,,,x,,
,,21,,,x,,,,,x,x,,x,x,,,x,x,,x,x,,
,,22,,x,x,,,,,x,,,,x,,,x,x,,,x,,
,,23,,x,x,,,,x,,,,x,x,,,,x,,,x,,
,,24,,x,,,,,x,x,,,x,x,,,,x,,x,x,,
,,25,x,,x,,,,x,,,,,x,,,x,,,,x,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,x,,,,x,,,x,,,,x,,,,x,,
,,2,,x,,x,,,,x,,,,x,,,x,,,x,,,
,,3,,x,x,,,,x,,,,,x,,,x,,,x,x,,
,,4,,,x,,,x,,,x,,,x,,,x,,,,x,x,
,,5,x,,x,,,,x,,x,,,x,x,,x,,,,x,,
,,6,,x,,x,,,x,x,,,,x,,,x,x,,,x,x,
,,7,,x,,,,x,x,,,,,x,x,,x,,,,x,x,
,,8,,,,x,,x,,x,,,,x,,,x,,,,x,x,
,,9,,x,,,,,,x,,,,x,,,x,x,,,,x,
,,10,,,,x,,,x,,,,,x,,,x,x,,x,,x,
,,11,,x,,x,,,x,,,,,x,x,,x,x,,x,,,
,,12,x,,,x,,,,x,,,,,x,,x,,,x,x,,
,,13,,x,,,,,,x,x,,,x,,,x,x,,,x,,
,,14,x,x,,,,,,x,x,,,x,,,x,,,,,x,
,,15,,x,,x,,,x,x,,,,x,x,,x,x,,,x,,
,,16,,,,x,,,,x,,,x,,,,,x,,,x,,
,,17,,,,x,,,,x,,,x,x,,,,x,,x,,,
,,18,x,,x,,,x,x,,,,x,,,,x,x,,x,x,,
,,19,x,,x,,,x,x,,,,,x,x,,x,,,x,,,
,,20,,x,,,,,x,,,,,,x,,x,,,x,x,,
,,21,,x,,x,,,x,,,,,x,,,x,x,,x,x,,
,,22,,x,,x,,,x,,,,x,x,,,x,x,,,x,x,
,,23,,,,x,,,,x,,,,x,,,,x,,,,x,
,,24,,x,,x,,,x,x,,,,x,x,,,x,,,,x,
,,25,,,,x,,,x,,,,,x,,,x,,,,x,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,,,,x,,,,x,,,,x,,,,,x,
,,2,x,,x,,,,x,,,,x,,,,x,,,,,x,
,,3,x,,x,,,,x,x,,,x,,x,,x,,,,,x,
,,4,x,,x,,,,x,x,,,x,,,,x,,,x,,x,
,,5,x,,,,,,x,x,,,x,,,,x,,,x,,x,
,,6,x,,x,,,,,x,,,x,,,,x,,,x,,,
,,7,x,,,,,,,x,,,,,x,,x,,,x,,x,
,,8,,,x,,,,x,x,,,,,x,,x,,,x,,x,
,,9,,,x,,,,x,,,,,,x,,x,,,,,x,
,,10,x,,,,,,x,x,,,,,x,,x,,,,x,x,
,,11,,,x,,,,x,x,,,,,x,,x,,,,x,x,
,,12,,,x,,,,x,,,,,,x,,x,,,,,,
,,13,x,,x,,,,x,x,,,x,,,,x,,,,,x,
,,14,x,,,,,,,x,,,,,x,,x,,,,x,,
,,15,,,x,,,,x,,,,x,,,,x,,,,x,,
,,16,,,x,,,,x,x,,,x,,x,,x,,,,x,x,
,,17,x,,,,,,x,,,,x,,x,,x,,,,x,x,
,,18,x,,x,,,,x,x,,,x,,,,x,,,,,x,
,,19,,x,,,,,x,x,,,x,,,,x,,,,,x,
,,20,x,,x,,,,x,,,,,,x,,x,,,x,,x,
,,21,,,x,,,,,x,,,x,,,,x,,,,,x,
,,22,,x,x,,,,x,,,,x,,,,x,,,x,,x,
,,23,x,,,,,,x,x,,,x,,x,,x,,,x,,,
,,24,x,,x,,,,x,x,,,x,,x,,x,,,,,x,
,,25,x,,x,,,,x,,,,x,,,,x,,,x,,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,x,,,,x,,,,,x,,,,x,,,x,,,
,,2,,x,,,,x,,,,,x,,,,x,,,x,,,
,,3,,x,,x,,x,,x,,,x,,,,x,,,x,,,
,,4,,x,,x,,x,,x,,,x,,,,x,x,,x,,,
,,5,,x,,,,x,,x,,,x,,,,x,,,x,,,
,,6,,,,x,,,,x,,,x,,,,,x,,x,,,
,,7,x,x,,,,,,x,,,x,,,,,x,,x,x,,
,,8,x,,,x,,x,,x,,,x,,,,x,,,x,,,
,,9,,x,,,,x,,,,,x,,,,x,x,,x,,,
,,10,x,x,,,,x,,x,,,x,,,,x,x,,,x,,
,,11,x,x,,,,x,,x,,,x,,,,,x,,x,,,
,,12,,x,,,,x,,,,,x,,,,x,,,x,,,
,,13,,x,,x,,x,,x,,,x,,,,x,,,x,x,,
,,14,,x,,,,,,x,,,x,,,,x,x,,x,,,
,,15,x,x,,,,x,,,,,x,,,,,x,,x,,,
,,16,x,x,,,,x,,x,,,x,,,,,x,,x,,,
,,17,x,x,,,,x,,,,,x,,,,x,,,x,,,
,,18,,x,,x,,x,,x,,,x,,,,x,,,x,,,
,,19,,x,,x,,x,,x,,,x,,,,x,x,,x,,,
,,20,,x,,,,x,,,,,x,,,,x,,,x,,,
,,21,x,x,,,,,,x,,,x,,,,x,,,,x,,
,,22,x,x,,,,x,,,,,x,,,,x,x,,x,,,
,,23,,x,,x,,x,,x,,,x,,,,,x,,x,,,
,,24,x,,,x,,x,,x,,,x,,,,x,,,x,,,
,,25,,x,,,,x,,,,,x,,,,,x,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,x,,,,,x,,,,,,x,,,x,,,x,,
,,2,,,,x,,,x,,,,,,x,,,x,,x,,,
,,3,,,,x,,,x,x,,,,,x,,,x,,x,x,,
,,4,,x,,,,,x,x,,,,x,x,,,x,,,x,x,
,,5,,x,,x,,,x,x,,,,x,x,,,x,,,x,,
,,6,,x,,,,,,x,,,,,x,,,x,,,x,x,
,,7,,,,x,,,,x,,,,,x,,,x,,,x,x,
,,8,,,,x,,,x,x,,,,x,x,,,x,,,x,x,
,,9,,x,,x,,,x,,,,,x,x,,,x,,,,x,
,,10,x,,,,,,x,x,,,,x,x,,,x,,x,,x,
,,11,,x,,,,,x,x,,,,x,x,,,x,,x,,,
,,12,,x,,,,,x,,,,,x,x,,,x,,x,x,,
,,13,x,,,,,,x,x,,,,x,x,,,x,,,x,,
,,14,,x,,x,,,,x,,,,,x,,,x,,,,x,
,,15,x,,,x,,,x,,,,,,x,,,x,,,x,,
,,16,,x,,,,,x,x,,,,,x,,,x,,,x,,
,,17,,,,x,,,x,,,,,,x,,,x,,x,,,
,,18,,x,,x,,,x,x,,,,,x,,,x,,x,x,,
,,19,x,x,,,,,x,x,,,,,x,,,x,,x,,,
,,20,,x,,x,,,x,,,,,,x,,,x,,x,x,,
,,21,,x,,,,,,x,,,,x,x,,,x,,x,x,,
,,22,,,,x,,,x,,,,,,x,,,x,,,x,x,
,,23,,x,,x,,,x,x,,,,,x,,,x,,,,x,
,,24,,x,,,,,x,x,,,,,x,,,x,,,,x,
,,25,,x,,,,,x,,,,,x,x,,,x,,,x,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,x,,,,,x,,,,,x,,,x,,,,x,
,,2,,,x,x,,,,x,,,,,x,,,x,,,,x,
,,3,,,x,x,,,x,x,,,,,x,,,x,,,x,x,
,,4,,,x,,,,,x,,,,x,x,,,x,,,x,,
,,5,,x,,,,,x,,,,,x,x,,,x,,,x,x,
,,6,,,x,,,,,x,,,,,x,,,x,,,x,,
,,7,,x,,,,,x,x,,,,,x,,,x,,,,x,x
,,8,,,x,,,,,x,,,,x,x,,,x,,,,x,
,,9,x,x,,,,,,x,,,,x,x,,,x,,,x,,
,,10,,x,,x,,,x,,,,,x,x,,,x,,,x,x,
,,11,,,x,,,,x,x,,,,x,x,,,x,,,x,,
,,12,x,x,,,,,x,x,,,,x,x,,,x,,,x,x,
,,13,,,x,,,,x,x,,,,x,x,,,x,,,,x,
,,14,,,x,,,,x,x,,,,,x,,,x,,,x,,x
,,15,,x,,x,,,,x,,,,,x,,,x,,,x,,x
,,16,,x,,x,,,,x,,,,,x,,,x,,,x,x,
,,17,,,x,,,,,x,,,,,x,,,x,,,x,,
,,18,,,x,,,,x,x,,,,,x,,,x,,,x,x,
,,19,,x,,,,,x,x,,,,,x,,,x,,,x,x,
,,20,,,x,,,,,x,,,,,x,,,x,,,,x,x
,,21,,,x,,,,,x,,,,x,x,,,x,,,x,x,
,,22,,x,x,,,,x,,,,,,x,,,x,,,x,x,
,,23,,,x,,,,x,x,,,,,x,,,x,,,,x,
,,24,x,x,,,,,x,x,,,,,x,,,x,,,x,x,
,,25,,x,,,,,,x,,,,x,x,,,x,,,,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,x,,,,,x,,,x,,,,x,x,,,,x,
,,2,,,x,x,,,,x,,,x,,,,x,,,,x,,
,,3,,,x,x,,,x,x,,,x,,,,x,,,,x,x,
,,4,,,x,,,,,x,,,x,,,,x,,,,x,,
,,5,,x,,,,,x,,,,x,x,,,x,x,,,,x,x
,,6,,,x,,,,,x,,,x,x,,,,x,,,,x,
,,7,,x,,,,,x,x,,,x,x,,,x,,,,x,x,
,,8,,,x,,,,,x,,,,x,,,x,x,,,x,,
,,9,x,x,,,,,,x,,,,x,,,x,x,,,x,x,
,,10,,x,,x,,,x,,,,,x,x,,,x,,,x,,
,,11,,,x,,,,x,x,,,,x,,,x,x,,,,x,
,,12,x,x,,,,,x,x,,,,x,x,,x,x,,,x,x,
,,13,,,x,,,,x,x,,,,,x,,x,,,,x,,
,,14,,,x,,,,x,x,,,,,x,,,x,,,x,,x
,,15,,x,,x,,,,x,,,,,x,,x,x,,,,,x
,,16,,x,,x,,,,x,,,x,,x,,x,x,,,,x,x
,,17,,,x,,,,,x,,,x,,x,,x,,,,x,x,
,,18,,,x,,,,x,x,,,x,,x,,x,,,,x,,
,,19,,x,,,,,x,x,,,x,,x,,x,x,,,,x,
,,20,,,x,,,,,x,,,x,,x,,x,x,,,,x,x
,,21,,,x,,,,,x,,,x,,,,x,,,,x,,
,,22,,x,x,,,,x,,,,x,x,,,x,,,,x,,
,,23,,,x,,,,x,x,,,x,x,,,,x,,,,x,
,,24,x,x,,,,,x,x,,,x,x,,,x,x,,,,x,x
,,25,,x,,,,,,x,,,x,x,,,,x,,,,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,,,,,x,x,,,,x,,,x,,,,,x
,,2,x,,,,,,,x,,,,,x,,,x,,,,,x
,,3,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,4,x,x,,,,,,x,x,,,x,x,,,x,,,,,x
,,5,x,,,,,,,x,x,,,x,x,,,x,,,,,x
,,6,x,,,,,,,x,x,,,,x,,,x,,,,,x
,,7,x,,,,,,,x,,,,,x,,,x,,,,x,
,,8,x,,,,,,,x,,,,x,x,,,x,,,,x,x
,,9,x,,,,,,,x,,,,x,x,,,x,,,,,x
,,10,x,,,,,,,,x,,,x,x,,,x,,,,,x
,,11,x,x,,,,,,x,,,,x,x,,,x,,,,x,x
,,12,x,,,,,,,x,,,,x,x,,,x,,,,x,x
,,13,x,,,,,,,x,,,,x,x,,,x,,,,,x
,,14,x,,,,,,,x,x,,,,x,,,x,,,,,x
,,15,x,,,,,,,x,x,,,,x,,,x,,,,x,x
,,16,x,x,,,,,,x,x,,,,x,,,x,,,,x,
,,17,x,,,,,,,x,,,,,x,,,x,,,,,x
,,18,x,,,,,,,,x,,,,x,,,x,,,,,x
,,19,x,,,,,,,,x,,,,x,,,x,,,,x,x
,,20,x,x,,,,,,,x,,,,x,,,x,,,,x,x
,,21,x,,,,,,,,x,,,x,x,,,x,,,,,x
,,22,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,23,x,,,,,,,x,x,,,,x,,,x,,,,x,x
,,24,x,x,,,,,,x,,,,,x,,,x,,,,,x
,,25,x,,,,,,,,x,,,x,x,,,x,,,,x,x
,,,,,,,,,,,,,,,,,,,,,,,
,,Site 10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,,,,,x,,,,x,,,,x,,,,,x
,,2,,x,,,,,,x,,,,x,,,,x,,,,,x
,,3,,x,,,,,,x,,,,x,,,,x,,,,x,x
,,4,x,x,,,,,,x,,,,x,x,,,x,,,,,x
,,5,,x,,,,,,x,,,,x,x,,,x,,,,,x
,,6,x,x,,,,,,x,,,,x,x,,,x,,,,,x
,,7,x,,,,,,,x,,,,,x,,,x,,,,,x
,,8,x,x,,,,,,x,,,,x,x,,,x,,,,x,
,,9,x,,,,,,,x,,,,x,,,,x,,,,x,x
,,10,,x,,,,,,x,,,,x,,,,x,,,,x,x
,,11,x,,,,,,,x,,,,x,x,,,x,,,,x,
,,12,,x,,,,,,x,,,,,x,,,x,,,,,x
,,13,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,14,x,,,,,,,x,,,,x,x,,,x,,,,,x
,,15,x,x,,,,,,x,,,,x,x,,,x,,,,x,x
,,16,x,x,,,,,,x,,,,x,,,,x,,,,x,x
,,17,x,x,,,,,,x,,,,x,,,,x,,,,,x
,,18,x,,,,,,,x,,,,x,,,,x,,,,x,
,,19,,x,,,,,,x,,,,x,x,,,x,,,,,x
,,20,x,x,,,,,,x,,,,x,,,,x,,,,,x
,,21,x,x,,,,,,x,,,,,x,,,x,,,,x,x
,,22,,x,,,,,,x,,,,,x,,,x,,,,,x
,,23,x,,,,,,,x,,,,x,x,,,x,,,,x,
,,24,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,25,x,,,,,,,x,,,,x,,,,x,,,,x,
